park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,condition,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
385,Plaza Juan Pablo II,5598.26732382,Lawn Park,0.08558281511068344,0.031107135117053986,0.11668995022773743,0.7327926327890296,0.26635112915448517,High Woody Cover,Good condition,PLAZA,LAS CONDES,20.415781021118164,32.93288040161133,29.932178497314453,0.56,7,9,5,NA,7,P5 — Intermediate
409,Plaza Capitán Prat,8672.79338554,Lawn Park,0.06929797679185867,0.02589772827923298,0.09519570507109165,0.7271888774017844,0.2717617573626533,High Woody Cover,Good condition,PARQUE,SANTIAGO,20.378767013549805,31.56244468688965,29.18616485595703,0.87,7,9,5,NA,7,P5 — Intermediate
412,Plaza Bogotá,8410.91249062,Lawn Park,0.07367444783449173,0.028635017573833466,0.1023094654083252,0.7194105304694081,0.2796129972914167,High Woody Cover,Good condition,PLAZA,SANTIAGO,19.67184829711914,31.899999618530273,29.700000762939453,0.84,7,8,6,NA,7,P5 — Intermediate
438,Plaza Luis Beltrán,6981.61442752,Lawn Park,0.07226472347974777,0.028041869401931763,0.10030659288167953,0.7197209008466753,0.2792831486173092,High Woody Cover,Poor condition,PLAZA,PUDAHUEL,18.837709426879883,31.80421257019043,29.042390823364258,0.7,7,8,6,NA,7,P5 — Intermediate
440,Plaza Isla Trelat,5903.79993139,Lawn Park,0.0731879249215126,0.02810019813477993,0.10128812305629253,0.7218589585772027,0.27715473260293205,High Woody Cover,Poor condition,PLAZA,PUDAHUEL,18.147254943847656,31.666719436645508,28.600000381469727,0.59,7,8,6,NA,7,P5 — Intermediate
441,Plaza Lebreles,5476.77061356,Lawn Park,0.07081117480993271,0.026714080944657326,0.09752525575459003,0.7253366381742195,0.2736390367243807,High Woody Cover,Poor condition,PLAZA,PUDAHUEL,18.205015182495117,31.785327911376953,28.701114654541016,0.55,7,8,6,NA,7,P5 — Intermediate
480,Plaza Avda. Ovalle,8495.30498867,Lawn Park,0.06863143295049667,0.02752465382218361,0.09615608677268028,0.7130087587352021,0.2859523459247436,High Woody Cover,Good condition,PLAZA,LO ESPEJO,19.03107261657715,31.385833740234375,28.65035057067871,0.85,7,6,8,NA,7,P5 — Intermediate
497,Plaza Pablo Neruda,6292.46815105,Lawn Park,0.07070747762918472,0.029132550582289696,0.09984002821147442,0.7074990761416113,0.29150032378062607,High Woody Cover,Poor condition,PLAZA,LA PINTANA,19.036834716796875,31.35376739501953,29.020414352416992,0.63,7,5,9,NA,7,P5 — Intermediate
528,Plaza Arabia,9854.67793123,Lawn Park,0.06413454562425613,0.026819558814167976,0.09095410443842411,0.7043564485072444,0.2945453033619683,High Woody Cover,Good condition,PLAZA,MACUL,18.60783576965332,32.43666458129883,29.54129409790039,0.99,7,4,10,NA,7,P5 — Intermediate
537,PLAZA EN CALLE DIAGONAL LAS TORRES,6402.14421069,Lawn Park,0.07997696101665497,0.034010566771030426,0.1139875277876854,0.7010140597094057,0.2981094202893362,High Woody Cover,Good condition,PLAZA,PENALOLEN,17.91077995300293,32.13143539428711,29.61623764038086,0.64,7,4,10,NA,7,P5 — Intermediate
110,PLAZA SANCHEZ FONTECILLA 3 CAMILO MORI LOS PRESIDENTES,7249.94500803,Lawn Park,0.11489114165306091,0.03960775211453438,0.1544988937675953,0.7431562985552402,0.25619686628596283,High Woody Cover,Poor condition,PLAZA,PENALOLEN,17.75963020324707,31.486173629760742,29.452024459838867,0.72,7,10,3,NA,6.5,P3 — Forest + Cool
123,PLAZA JUAN PABLO II,9413.78633207,Lawn Park,0.4271952211856842,0.06527699530124664,0.49247221648693085,0.8672742937725534,0.1325226903108909,High Woody Cover,NA,NA,NA,18.141544342041016,31.674341201782227,28.89687156677246,0.94,7,10,3,NA,6.5,P3 — Forest + Cool
395,Plaza Manuel Rodriguez,5822.02650313,Lawn Park,0.07097958773374557,0.027446428313851357,0.09842601604759693,0.7204146740233163,0.2785703656239613,High Woody Cover,Good condition,PLAZA,SANTIAGO,21.316286087036133,31.408355712890625,29.661203384399414,0.58,7,8,5,NA,6.5,P5 — Intermediate
406,Plaza Yungay,7720.3612785,Lawn Park,0.07666440308094025,0.02937922440469265,0.1060436274856329,0.7222704263740862,0.276787453949313,High Woody Cover,Good condition,PLAZA,SANTIAGO,19.248685836791992,31.766199111938477,29.180315017700195,0.77,7,8,5,NA,6.5,P5 — Intermediate
456,Plaza Fraternal,5050.18757483,Lawn Park,0.07967419177293777,0.03221704438328743,0.1118912361562252,0.7114323808498203,0.2876746921370293,High Woody Cover,Good condition,PLAZA,PAC,19.110462188720703,31.799453735351562,28.6004638671875,0.51,7,6,7,NA,6.5,P5 — Intermediate
473,Plaza Lo Ovalle,9554.09277409,Lawn Park,0.07123216241598129,0.029307188466191292,0.10053935088217258,0.7077963221302878,0.2912100307612657,High Woody Cover,Good condition,PLAZA,LA CISTERNA,18.541231155395508,31.602344512939453,28.71380043029785,0.96,7,5,8,NA,6.5,P5 — Intermediate
478,Plaza America,7537.28125285,Lawn Park,0.06791791319847107,0.027964893728494644,0.09588280692696571,0.7076049906536959,0.2913531560894381,High Woody Cover,Good condition,PLAZA,SAN RAMON,19.256141662597656,32.299720764160156,29.29228401184082,0.75,7,5,8,NA,6.5,P5 — Intermediate
503,Plaza Santa Adriana,5927.3776234,Lawn Park,0.06789765506982803,0.028328344225883484,0.09622599929571152,0.7048736121738928,0.29408824650672144,High Woody Cover,Good condition,PLAZA,LO ESPEJO,19.633026123046875,31.401172637939453,29.198352813720703,0.59,7,4,9,NA,6.5,P5 — Intermediate
504,Plaza Norte,5036.46694932,Lawn Park,0.06414544582366943,0.026776568964123726,0.09092201478779316,0.7047245215700487,0.29417684311372433,High Woody Cover,Good condition,PLAZA,CERRILLOS,18.361000061035156,31.452396392822266,28.399999618530273,0.5,7,4,9,NA,6.5,P5 — Intermediate
550,Plaza Santa Elisa,6844.19935047,Lawn Park,0.06397321075201035,0.027458438649773598,0.09143164940178394,0.698919020580476,0.2999884611413813,High Woody Cover,NA,NA,NA,18.15270233154297,31.343725204467773,28.75705337524414,0.68,7,3,10,NA,6.5,P2 — Grass + Hot
113,PLAZA PORTAL DE LA VIÑA 2,5103.65719304,Lawn Park,0.08182404190301895,0.029513569548726082,0.11133761145174503,0.7342587555230451,0.2648438813811629,High Woody Cover,Poor condition,PLAZA,PENALOLEN,17.553991317749023,32.01242446899414,29.919309616088867,0.51,7,9,3,NA,6,P3 — Forest + Cool
401,Plaza Rondizzoni,7463.07815387,Lawn Park,0.11290425062179565,0.04441258683800697,0.15731683745980263,0.7172310944858518,0.2821336494537823,High Woody Cover,Good condition,PLAZA,SANTIAGO,19.353755950927734,31.774396896362305,29.003129959106445,0.75,7,7,5,NA,6,P5 — Intermediate
425,Plaza Los Mercenarios,5528.66516825,Lawn Park,0.06704062968492508,0.027297845110297203,0.09433847479522228,0.7098868319325792,0.28905427760760727,High Woody Cover,Poor condition,PLAZA,QUILICURA,17.15670394897461,32.724124908447266,30.716188430786133,0.55,7,6,6,NA,6,P5 — Intermediate
443,Plaza José Cardín,6245.21989195,Lawn Park,0.06815072894096375,0.02827422507107258,0.09642495401203632,0.7060425942545965,0.2929214042158143,High Woody Cover,Good condition,PLAZA,ESTACION CENTRA,18.831600189208984,31.299999237060547,28.30000114440918,0.62,7,5,7,NA,6,P5 — Intermediate
449,Plaza Carlo Silva Vildósola,7614.67076429,Lawn Park,0.07140237092971802,0.029372699558734894,0.10077507048845291,0.707829700479777,0.2911789743145425,High Woody Cover,Good condition,PLAZA,SAN JOAQUIN,19.727937698364258,31.64870834350586,29.5,0.76,7,5,7,NA,6,P5 — Intermediate
459,Plaza Barcelo Lira,5187.35563233,Lawn Park,0.06845454126596451,0.02837575599551201,0.09683029726147652,0.7062244024827801,0.2927439283402417,High Woody Cover,Poor condition,PLAZA,SAN RAMON,19.0294132232666,31.626218795776367,28.89999771118164,0.52,7,5,7,NA,6,P5 — Intermediate
506,Plaza Lucila Godoy,5928.50518217,Lawn Park,0.0687386766076088,0.02947736158967018,0.09821603819727898,0.6991603594693182,0.29982251248287184,High Woody Cover,Good condition,PLAZA,LO ESPEJO,19.052139282226562,31.334239959716797,29.138282775878906,0.59,7,3,9,NA,6,P2 — Grass + Hot
513,Plaza Población Juan Pablo II,6510.57959134,Lawn Park,0.07302010804414749,0.031174611300230026,0.10419471934437752,0.7001323605180588,0.29890881816645526,High Woody Cover,Good condition,PLAZA,EL BOSQUE,18.458181381225586,31.114437103271484,28.383941650390625,0.65,7,3,9,NA,6,P2 — Grass + Hot
54,PLAZA LA PAZ,7050.98217854,Lawn Park,0.06884143501520157,0.02496354840695858,0.09380498342216015,0.733096716557814,0.2658383772321455,High Woody Cover,Good condition,VEREDA,INDEPENDENCIA,19.74510383605957,31.918516159057617,29.400001525878906,0.71,7,9,2,NA,5.5,P3 — Forest + Cool
108,PLAZA BANDEJON CENTRAL GRECIA,6034.2563538,Lawn Park,0.07189889252185822,0.02737605758011341,0.09927495010197163,0.7235112314328772,0.27548247875366993,High Woody Cover,Poor condition,BANDEJON,PENALOLEN,18.340961456298828,31.99561309814453,29.827152252197266,0.6,7,8,3,NA,5.5,P3 — Forest + Cool
208,PLAZA CENTRAL,5766.87884537,Lawn Park,0.06427394598722458,0.025650765746831894,0.08992471173405647,0.7139589202695514,0.28493027361872875,High Woody Cover,Good condition,PLAZA,INDEPENDENCIA,19.84164047241211,32.258338928222656,29.313962936401367,0.58,7,7,4,NA,5.5,P5 — Intermediate
389,Plaza Genral Blanche,6282.22202981,Lawn Park,0.10224441438913345,0.03582671657204628,0.13807113096117973,0.7399839147141368,0.2592923451000201,High Woody Cover,Good condition,PLAZA,LAS CONDES,17.743051528930664,31.01827049255371,28.958877563476562,0.63,6,10,1,NA,5.5,P3 — Forest + Cool
