condition,park_id,name,area_m2,greenspace_type,mean_woody,mean_grass,total_veg_idx,woody_ratio,grass_ratio,structure_cat,clase,comuna,temp_am_c,temp_af_c,temp_pm_c,area_ha,stgohot_decile_mean,woody_decile,temp_decile,length_decile,priority_score,sampling_priority
Good condition,475,Plaza Cervantes,5825.37429388,Lawn Park,0.07330896705389023,0.03286023437976837,0.1061692014336586,0.689842080912364,0.309216912675139,High Woody Cover,PLAZA,LA CISTERNA,19.227628707885742,31.298656463623047,28.60149574279785,0.58,7,1,8,NA,4.5,P2 — Grass + Hot
Good condition,547,Plaza Santa Mercedes,7382.24489975,Lawn Park,0.09044630080461502,0.034549303352832794,0.12499560415744781,0.7230174186678655,0.2761831927311239,High Woody Cover,PLAZA,SAN BERNARDO,17.720809936523438,30.987646102905273,27.799997329711914,0.74,6,7,2,NA,4.5,P5 — Intermediate
Good condition,66,PLAZA HUELEN,6993.67187379,Lawn Park,0.09408349543809891,0.036074794828891754,0.13015829026699066,0.7222841267550479,0.27694816778992865,High Woody Cover,PLAZA,CERRILLOS,17.6878604888916,30.90478515625,28.190509796142578,0.7,6,7,1,NA,4,P5 — Intermediate
Good condition,317,PLAZA JOSÉ SANTOS OSSA,6950.79875249,Lawn Park,0.06800392270088196,0.028195714578032494,0.09619963727891445,0.7061700814502646,0.2927914930392595,High Woody Cover,PLAZA,RECOLETA,18.30872917175293,32.655555725097656,30.301664352416992,0.7,7,4,4,NA,4,P5 — Intermediate
Good condition,386,Plaza Perú,8488.86099484,Lawn Park,0.0753195509314537,0.031782738864421844,0.10710228979587555,0.7025927438198387,0.29647444028424697,High Woody Cover,PLAZA,LAS CONDES,19.15513038635254,31.589731216430664,29.327648162841797,0.85,7,3,5,NA,4,P5 — Intermediate
Good condition,390,Plaza La Concordia,7990.47409628,Lawn Park,0.07230997085571289,0.0301531869918108,0.10246315784752369,0.7050287098532307,0.2939962811659745,High Woody Cover,PLAZA,LAS CONDES,19.047460556030273,32.0368766784668,29.734506607055664,0.8,7,3,5,NA,4,P5 — Intermediate
Good condition,405,Plaza Rosa Ester Alessandri,6876.69316238,Lawn Park,0.06804697960615158,0.029049264267086983,0.09709624387323856,0.7000988607635612,0.29887229289407996,High Woody Cover,PLAZA,INDEPENDENCIA,19.630657196044922,32.185142517089844,29.45784568786621,0.69,7,2,6,NA,4,P5 — Intermediate
Good condition,411,Plaza Matte,9698.63204089,Lawn Park,0.08114039897918701,0.03474860265851021,0.11588900163769722,0.6995525250974816,0.2995853241935024,High Woody Cover,PLAZA,SANTIAGO,20.319339752197266,32.177616119384766,29.076204299926758,0.97,7,2,6,NA,4,P5 — Intermediate
Good condition,413,Plaza Arauco,6749.02130789,Lawn Park,0.08487512916326523,0.03690820932388306,0.12178333848714828,0.6963636721537185,0.30281587116006636,High Woody Cover,PLAZA,SANTIAGO,19.603099822998047,31.94456672668457,29.184160232543945,0.67,7,2,6,NA,4,P5 — Intermediate
Good condition,447,Plaza Manuel Rodriguez,5331.80708348,Lawn Park,0.07705860584974289,0.034352388232946396,0.11141099408268929,0.6910404349243021,0.3080627925123948,High Woody Cover,PLAZA,LA CISTERNA,19.100425720214844,31.057687759399414,28.700000762939453,0.53,7,1,7,NA,4,P5 — Intermediate
Good condition,526,Plaza Bernardino Parada,5732.27397458,Lawn Park,0.07334916293621063,0.028409019112586975,0.10175818204879761,0.7201106623037014,0.27890758053169407,High Woody Cover,PLAZA,LA PINTANA,18.127531051635742,31.094438552856445,28.10000228881836,0.57,6,7,1,NA,4,P5 — Intermediate
Good condition,27,PLAZA LAS LILAS,6039.2489045,Lawn Park,0.08543167263269424,0.03436692804098129,0.11979860067367554,0.7125326913965501,0.28663327051261206,High Woody Cover,PLAZA,PROVIDENCIA,19.741954803466797,32.23423767089844,29.352087020874023,0.6,7,5,2,NA,3.5,P5 — Intermediate
