park_id,name,greenspace_type,comuna,area_ha,area_m2,mean_woody,mean_grass,woody_ratio,grass_ratio,structure_cat,temp_am_c,temp_af_c,temp_pm_c,stgohot_decile_mean,condition,clase,woody_decile,temp_decile,priority_score,sampling_priority
81,PARQUE PRIMO DE RIVERA,Urban Park,MAIPU,4.64,46353.16104082,0.23790840804576874,0.040172819048166275,0.8552281206432125,0.14441240146877668,High Woody Cover,17.731542587280273,31.219675064086914,28.60899543762207,NA,Good condition,PLAZA,10,NA,NA,P5 — Intermediate
82,PARQUE ISABEL RIQUELME,Urban Park,MAIPU,1.69,16890.25649742,0.08656158298254013,0.03351802006363869,0.7202685047085651,0.2788994073375283,High Woody Cover,18.08464241027832,31.622974395751953,28.868167877197266,NA,Poor condition,PARQUE,7,NA,NA,P5 — Intermediate
83,PARQUE ISABEL RIQUELME PONIENTE,Urban Park,MAIPU,2.58,25839.18041975,0.12209460884332657,0.03829251229763031,0.7607751199929002,0.23860177704850066,High Woody Cover,17.762374877929688,31.626951217651367,28.65363311767578,NA,Good condition,PLAZA,9,NA,NA,P5 — Intermediate
84,PARQUE EL CONQUISTADOR,Urban Park,NA,1.14,11371.0730496,0.07355291396379471,0.036469291895627975,0.6679208193276588,0.33117109860824184,High Woody Cover,18.277572631835938,31.174983978271484,28.722190856933594,NA,NA,NA,1,NA,NA,P5 — Intermediate
86,PARQUE VALLE DE LOS REYES,Urban Park,MAIPU,1.51,15079.63089324,0.08626292645931244,0.03501236066222191,0.7107124399461685,0.28846366910888266,High Woody Cover,18.428611755371094,31.02482795715332,28.459306716918945,NA,Good condition,PLAZA,5,NA,NA,P5 — Intermediate
87,PARQUE RAPA NUI - PLAZA FUNCIONARIOS,Urban Park,MAIPU,1.03,10310.39186231,0.07155958563089371,0.029365690425038338,0.7083334827145156,0.2906766659937677,High Woody Cover,18.24953269958496,31.73320960998535,28.417076110839844,NA,Good condition,PLAZA,4,NA,NA,P5 — Intermediate
88,PARQUE ALCALDIA,Urban Park,MAIPU,1.34,13423.32213061,0.10145113617181778,0.030658740550279617,0.7673491473338722,0.23189447952306694,High Woody Cover,18.454851150512695,31.93454933166504,28.489439010620117,NA,Good condition,PLAZA,9,NA,NA,P5 — Intermediate
90,PARQUE DE LA VICTORIA,Urban Park,MAIPU,1.21,12138.57315222,0.06951198726892471,0.029837602749466896,0.6989670571398996,0.30002740829749935,High Woody Cover,18.078989028930664,31.364503860473633,28.600000381469727,NA,Poor condition,PLAZA,3,NA,NA,P5 — Intermediate
97,PARQUE CEREMONIAL MAPUCHE,Urban Park,CERRO NAVIA,1.96,19641.09378948,0.09442737698554993,0.03788357973098755,0.7131386958233225,0.28610607966595925,High Woody Cover,18.88895034790039,32.431583404541016,30.023311614990234,NA,Good condition,PARQUE,5,NA,NA,P5 — Intermediate
103,PARQUE LAS MAGDALENAS,Urban Park,NA,1.1,11004.4125164,0.07753942906856537,0.03592827543616295,0.6827594993375697,0.31635996864466953,High Woody Cover,17.322093963623047,30.43004035949707,27.86430549621582,NA,NA,NA,1,NA,NA,P5 — Intermediate
104,PARQUE EL ROBLE,Urban Park,NA,1.05,10549.28151056,0.07956503331661224,0.036681968718767166,0.6838597636784632,0.31528073845523513,High Woody Cover,18.578672409057617,30.696142196655273,28.410131454467773,NA,NA,NA,1,NA,NA,P5 — Intermediate
105,PARQUE ANIBAL PINTO,Urban Park,NA,1.29,12918.65807669,0.07226063311100006,0.027424493804574013,0.7241623611115726,0.27483548553059667,High Woody Cover,18.1597957611084,31.34672737121582,28.38776969909668,NA,NA,NA,7,NA,NA,P5 — Intermediate
114,PARQUE PEÑALOLÉN,Urban Park,NA,12.5,124957.10370827,0.09090665727853775,0.04434087127447128,0.6716536182848293,0.32760754295639116,High Woody Cover,17.736595153808594,31.536727905273438,29.931943893432617,NA,NA,NA,1,NA,NA,P5 — Intermediate
115,PARQUE  ARRIETA,Urban Park,NA,4.44,44431.42791335,0.14690478146076202,0.02787785790860653,0.8400192379901434,0.15940894996287125,High Woody Cover,17.82350730895996,31.898731231689453,29.231985092163086,NA,NA,NA,10,NA,NA,P5 — Intermediate
119,PARQUE VIOLETA PARRA,Urban Park,PUDAHUEL,2.76,27575.35043999,0.07683643698692322,0.032940011471509933,0.6992985126925617,0.29979137416305657,High Woody Cover,18.259876251220703,32.234779357910156,30.05087661743164,NA,Good condition,PARQUE,3,NA,NA,P5 — Intermediate
124,PARQUE LOS LITRES,Urban Park,NA,1.18,11822.28378135,0.09327597916126251,0.033857014030218124,0.7331115681675888,0.26610247217295796,High Woody Cover,17.96961784362793,31.30499839782715,28.494264602661133,NA,NA,NA,8,NA,NA,P5 — Intermediate
125,PARQUE LOS MONJES,Urban Park,LO BARNECHEA,1.47,14732.58005425,0.23767851293087006,0.03936941176652908,0.8575872007354076,0.1420519811198808,High Woody Cover,16.90283966064453,31.13894271850586,28.060840606689453,NA,Good condition,PLAZA,10,NA,NA,P5 — Intermediate
126,PARQUE NOCEDAL,Urban Park,LO BARNECHEA,1.41,14074.30754179,0.19607427716255188,0.039238668978214264,0.8328950483687863,0.1666801661568406,High Woody Cover,16.445035934448242,30.827421188354492,27.908140182495117,NA,Good condition,PLAZA,10,NA,NA,P5 — Intermediate
128,PARQUE LOS PEUMOS I,Urban Park,LO BARNECHEA,1.06,10624.40727348,0.10172266513109207,0.041293688118457794,0.7107689849651198,0.28853228286535926,High Woody Cover,16.73981285095215,30.58477210998535,28.044578552246094,NA,Good condition,PLAZA,5,NA,NA,P5 — Intermediate
129,PARQUE EL TRANQUE,Urban Park,NA,1.18,11797.40548844,0.0865517407655716,0.04104187712073326,0.6778078826354115,0.3214089928697604,High Woody Cover,16.307302474975586,30.199642181396484,28.172277450561523,NA,NA,NA,1,NA,NA,P5 — Intermediate
130,PARQUE FRANCISCO BULNES,Urban Park,LO BARNECHEA,1.28,12810.06878995,0.1789974868297577,0.035538073629140854,0.8339600690913223,0.16557402488739134,High Woody Cover,15.321632385253906,30.574289321899414,28.090744018554688,NA,Good condition,PLAZA,10,NA,NA,P5 — Intermediate
132,PARQUE QUEBRADA EL PEUMO,Urban Park,NA,4.09,40898.17679965,0.46409574151039124,0.03762739524245262,0.924819338768284,0.07498138783701544,High Woody Cover,16.59366798400879,30.41742515563965,27.58169937133789,NA,NA,NA,10,NA,NA,P5 — Intermediate
134,PARQUE LA ERMITA,Urban Park,LO BARNECHEA,4.2,41968.66715016,0.11457058787345886,0.03948434069752693,0.7432171578004463,0.2561341441596858,High Woody Cover,17.371734619140625,30.627872467041016,28.407272338867188,NA,Good condition,PLAZA,9,NA,NA,P5 — Intermediate
135,PARQUE LAS LOMAS,Urban Park,NA,2.25,22549.74644938,0.08449779450893402,0.03766733780503273,0.6911029572351884,0.3080791480951914,High Woody Cover,17.198482513427734,30.83763885498047,28.34027862548828,NA,NA,NA,2,NA,NA,P5 — Intermediate
136,PARQUE LAS ROSAS,Urban Park,LO BARNECHEA,3.06,30614.27491679,0.12228286266326904,0.0369432233273983,0.7675005753322269,0.23187178105638195,High Woody Cover,16.69799041748047,30.751220703125,28.062192916870117,NA,Good condition,PARQUE,9,NA,NA,P5 — Intermediate
137,PARQUE DE LA CHILENIDAD,Urban Park,NA,49.56,495570.00816664,0.29239726066589355,0.03737417981028557,0.8863976227945333,0.11329922880360556,High Woody Cover,16.47418975830078,30.561059951782227,27.894948959350586,NA,NA,NA,10,NA,NA,P5 — Intermediate
139,PARQUE ESTERO EL ARRAYAN,Urban Park,NA,1.6,15965.28330895,0.2500040829181671,0.03771931678056717,0.8686023554021224,0.13105020932991587,High Woody Cover,17.746337890625,31.26937484741211,28.201248168945312,NA,NA,NA,10,NA,NA,P5 — Intermediate
140,PARQUE LOS NIÑOS,Urban Park,LO PRADO,5.13,51310.28657893,0.09099974483251572,0.07718054205179214,0.5407629527936195,0.4586428005370202,Mixed/Balanced,18.548086166381836,31.678630828857422,29.244585037231445,NA,Good condition,PLAZA,1,NA,NA,P5 — Intermediate
141,PARQUE EL MANIO,Urban Park,QUILICURA,2,19988.61837666,0.06605652719736099,0.02594366855919361,0.7172246123337894,0.28168961364392375,High Woody Cover,18.32630157470703,33.19779968261719,31.366220474243164,NA,Good condition,PARQUE,6,NA,NA,P5 — Intermediate
143,PARQUE FLUVIAL RENATO POBLETE,Urban Park,QUINTA NORMAL,12.5,124971.05605966,0.13265466690063477,0.04936528578400612,0.7283917272389135,0.2710591841053633,High Woody Cover,19.20274543762207,31.601261138916016,29.543596267700195,NA,Good condition,PARQUE,8,NA,NA,P5 — Intermediate
147,PARQUE SALVADOR ALLENDE,Urban Park,RECOLETA,1.31,13072.65243215,0.07383615523576736,0.029545681551098824,0.713518019474685,0.2855156273651371,High Woody Cover,18.341028213500977,32.31547927856445,30.059886932373047,NA,Good condition,PARQUE,6,NA,NA,P5 — Intermediate
149,PARQUE BICENTENARIO DE LA INFANCIA,Urban Park,NA,3.4,33954.85365175,0.2051314413547516,0.04356382414698601,0.8244989748541616,0.17509908823679668,High Woody Cover,18.710481643676758,31.525964736938477,29.034475326538086,NA,NA,NA,10,NA,NA,P5 — Intermediate
152,PARQUE SANTA MÓNICA,Urban Park,RECOLETA,4.66,46614.90202485,0.21450366079807281,0.04925409331917763,0.8129518934006914,0.18666911451573484,High Woody Cover,18.063169479370117,32.19890213012695,29.860639572143555,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
156,PARQUE ISABEL RIQUELME II,Urban Park,NA,4.05,40459.00384762,0.08227217942476273,0.03222215175628662,0.7179428386800359,0.2811845178046229,High Woody Cover,19.50172233581543,32.2803840637207,29.667043685913086,NA,NA,NA,6,NA,NA,P5 — Intermediate
157,PARQUE ISABEL RIQUELME I,Urban Park,SAN JOAQUIN,3.29,32917.24252658,0.10088957846164703,0.03091675415635109,0.764857732447343,0.23438415383654307,High Woody Cover,19.695035934448242,32.045440673828125,29.521535873413086,NA,Good condition,PARQUE,9,NA,NA,P5 — Intermediate
158,"PARQUE DE LOS REYES, SECTOR 3",Urban Park,QUINTA NORMAL,6.26,62635.82833869,0.14152812957763672,0.0548764206469059,0.7202282563732737,0.27926284955844277,High Woody Cover,19.07245445251465,31.484573364257812,29.29439926147461,NA,Good condition,PARQUE,7,NA,NA,P5 — Intermediate
159,"PARQUE DE LOS REYES, SECTOR 2",Urban Park,SANTIAGO,13.97,139697.60832396,0.184888556599617,0.05082353577017784,0.7840503629036938,0.2155255706330683,High Woody Cover,19.53583526611328,31.588279724121094,29.404645919799805,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
160,"PARQUE FORESTAL, SECTOR 4",Urban Park,SANTIAGO,1.15,11460.29553252,0.14882560074329376,0.041439760476350784,0.7817892908131433,0.21768540353587423,High Woody Cover,20.001888275146484,31.6010684967041,28.97780418395996,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
161,"PARQUE FORESTAL, SECTOR 3",Urban Park,SANTIAGO,2.62,26230.34328682,0.150472953915596,0.04209310933947563,0.7810039369330138,0.21847703029956209,High Woody Cover,19.545381546020508,31.711524963378906,28.886518478393555,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
162,"PARQUE FORESTAL, SECTOR 2",Urban Park,SANTIAGO,4.99,49908.99423396,0.2842826247215271,0.04357820749282837,0.8668188295598657,0.13287625598030445,High Woody Cover,19.310644149780273,31.686676025390625,28.8865966796875,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
163,"PARQUE FORESTAL, SECTOR 1",Urban Park,SANTIAGO,2.71,27067.35429095,0.29796940088272095,0.047098804265260696,0.8632585401513866,0.13645174602645788,High Woody Cover,19.60369110107422,31.701539993286133,29.06548500061035,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
164,PARQUE O'HIGGINS,Urban Park,SANTIAGO,52.76,527568.79449661,0.23518440127372742,0.04342992976307869,0.8438188319877593,0.15582237770666868,High Woody Cover,19.155214309692383,31.60301399230957,29.014196395874023,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
165,PARQUE CERRO SANTA LUCIA,Urban Park,SANTIAGO,6.58,65764.00329658,0.18411700427532196,0.03440386801958084,0.8421748680380446,0.15736771909487518,High Woody Cover,20.663738250732422,31.33731460571289,28.807178497314453,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
166,PARQUE SAN BORJA,Urban Park,SANTIAGO,2.38,23778.23283964,0.12869146466255188,0.0336080864071846,0.7924373178057007,0.20694691694531134,High Woody Cover,20.272504806518555,31.58793830871582,29.076026916503906,NA,Good condition,PARQUE,10,NA,NA,P5 — Intermediate
167,PARQUE EDUARDO FREI,Urban Park,LA FLORIDA,2.14,21426.91798714,0.07837321609258652,0.0307180006057024,0.7177611758750067,0.2813229995465722,High Woody Cover,18.52741813659668,31.48630714416504,28.855863571166992,NA,Poor condition,BANDEJON,6,NA,NA,P5 — Intermediate
168,PARQUE LAS TINAJAS,Urban Park,NA,1,10010.33438407,0.2005343735218048,0.044127967208623886,0.8193024013553835,0.18028903906105653,High Woody Cover,17.30413055419922,31.226028442382812,27.848922729492188,NA,NA,NA,10,NA,NA,P5 — Intermediate
170,PARQUE LA SUPERIORA,Urban Park,NA,1.04,10376.43722702,0.145248144865036,0.034600187093019485,0.8071658307946539,0.1922784541347375,High Woody Cover,17.031362533569336,30.992345809936523,28.188732147216797,NA,NA,NA,10,NA,NA,P5 — Intermediate
171,PARQUE MACALTO 1,Urban Park,LA FLORIDA,1.27,12655.1952988,0.08673087507486343,0.03473924845457077,0.713422612043858,0.2857548174339052,High Woody Cover,17.101234436035156,31.075801849365234,28.066165924072266,NA,Good condition,PLAZA,6,NA,NA,P5 — Intermediate
172,PARQUE MACALTO 2,Urban Park,NA,1.53,15319.08378368,0.08315389603376389,0.03114829771220684,0.7268557823148613,0.27227010857301753,High Woody Cover,16.887588500976562,31.023881912231445,27.999998092651367,NA,NA,NA,8,NA,NA,P5 — Intermediate
173,PARQUE DEL SANTUARIO,Urban Park,NA,2.45,24533.05024922,0.11044633388519287,0.035958003252744675,0.7538775714278333,0.24543985492312972,High Woody Cover,16.855518341064453,31.099327087402344,28.002445220947266,NA,NA,NA,9,NA,NA,P5 — Intermediate
175,PARQUE PARAÍSO,Urban Park,LA FLORIDA,1.34,13356.59217141,0.07030244171619415,0.02905627340078354,0.706850492020819,0.2921440656719645,High Woody Cover,17.22059440612793,31.506574630737305,28.424745559692383,NA,Good condition,PARQUE,4,NA,NA,P5 — Intermediate
176,PARQUE ZANJÓN DE LA AGUADA,Urban Park,LA FLORIDA,1.69,16906.26666665,0.07853955775499344,0.032262157648801804,0.7081906485308133,0.2909076521615078,High Woody Cover,18.809864044189453,32.03780746459961,28.518747329711914,NA,Poor condition,PLAZA,4,NA,NA,P5 — Intermediate
177,PARQUE QUEBRADA DE MACUL,Urban Park,NA,1.25,12539.82473457,0.18772611021995544,0.03810897842049599,0.8308851509058827,0.16867224409370893,High Woody Cover,17.09410858154297,31.10780906677246,28.099658966064453,NA,NA,NA,10,NA,NA,P5 — Intermediate
178,PARQUE NUEVA MARÍA ANGÉLICA,Urban Park,NA,1.73,17312.43677078,0.12083005160093307,0.04044385626912117,0.7487582918189665,0.2506220293164645,High Woody Cover,17.096965789794922,30.901479721069336,28.32392692565918,NA,NA,NA,9,NA,NA,P5 — Intermediate
180,PARQUE ÁRIDOS,Urban Park,LA FLORIDA,1.07,10735.45766593,0.07700613886117935,0.02672658860683441,0.7416364833997211,0.2574004291187254,High Woody Cover,18.707305908203125,31.500703811645508,28.920249938964844,NA,Poor condition,PLAZA,9,NA,NA,P5 — Intermediate
183,PARQUE REPUBLICA DEL BRASIL,Urban Park,LA GRANJA,49.01,490128.68990828,0.16963396966457367,0.052852682769298553,0.7621030632776593,0.23744767348527532,High Woody Cover,18.413381576538086,31.41994285583496,29.471721649169922,NA,Poor condition,PARQUE,9,NA,NA,P5 — Intermediate
184,PARQUE AV. ESTADIO,Urban Park,LA GRANJA,1.16,11565.48751188,0.0735207200050354,0.029081836342811584,0.715860662280162,0.28316565212177647,High Woody Cover,19.2973575592041,31.405838012695312,29.396678924560547,NA,Good condition,BANDEJON,6,NA,NA,P5 — Intermediate
186,PARQUE PIERRE DUBOIS,Urban Park,NA,10.55,105501.60795796,0.07823836803436279,0.03775983676314354,0.6738981724206925,0.3252404878180733,High Woody Cover,18.820898056030273,31.687435150146484,28.689311981201172,NA,NA,NA,1,NA,NA,P5 — Intermediate
187,PARQUE CENTRO CÍVICO,Urban Park,PUDAHUEL,9.06,90641.10690159,0.09872778505086899,0.03074984811246395,0.7619199598006422,0.2373083020717294,High Woody Cover,18.473915100097656,32.26992416381836,29.709260940551758,NA,Good condition,PARQUE,9,NA,NA,P5 — Intermediate
189,PARQUE PLATABANDA LATERAL HUASCAR,Urban Park,NA,0.52,5239.18343259,NA,NA,NA,NA,Mixed/Balanced,NA,NA,NA,NA,NA,NA,NA,NA,NA,P5 — Intermediate
191,PARQUE ROBERTO BRUCE,Urban Park,NA,3.18,31806.39000378,NA,NA,NA,NA,Mixed/Balanced,NA,NA,NA,NA,NA,NA,NA,NA,NA,P5 — Intermediate
195,PARQUE LAS PALMERAS,Urban Park,RENCA,15.63,156317.08511071,0.12293467670679092,0.0753619596362114,0.6196409322900649,0.37985502690640505,High Woody Cover,18.190452575683594,31.767112731933594,29.407148361206055,NA,Poor condition,PARQUE,1,NA,NA,P5 — Intermediate
